"word";"in documents";"total"
"abandon";1.0;1.0
"abella";2.0;4.0
"abrog";4.0;4.0
"abus";2.0;3.0
"academ";2.0;2.0
"acceler";2.0;2.0
"accept";3.0;3.0
"access";1.0;1.0
"accommod";1.0;2.0
"accompani";1.0;1.0
"accord";10.0;13.0
"account";2.0;2.0
"accumul";1.0;1.0
"accur";1.0;1.0
"achiev";7.0;8.0
"acknowledg";2.0;6.0
"action";5.0;8.0
"activ";10.0;17.0
"adapt";2.0;2.0
"addict";3.0;3.0
"addit";3.0;3.0
"address";4.0;7.0
"adher";3.0;4.0
"adjust";2.0;2.0
"administr";10.0;15.0
"adopt";4.0;4.0
"adulyadej";1.0;2.0
"advanc";1.0;1.0
"advis";1.0;1.0
"affair";4.0;5.0
"affect";3.0;3.0
"affirm";3.0;12.0
"afraid";1.0;2.0
"afternoon";1.0;1.0
"agenc";4.0;5.0
"agenda";2.0;3.0
"agre";8.0;47.0
"agreement";12.0;29.0
"agricultur";5.0;28.0
"ahead";6.0;6.0
"aiib";2.0;2.0
"aileen";1.0;1.0
"ailment";1.0;1.0
"airlin";2.0;2.0
"airport";2.0;2.0
"akihito";2.0;2.0
"aliv";1.0;1.0
"allevi";2.0;4.0
"alli";6.0;7.0
"allianc";5.0;10.0
"alloc";2.0;2.0
"allow";8.0;8.0
"aloud";1.0;1.0
"altern";1.0;1.0
"ambassador";1.0;1.0
"ambisyon";1.0;3.0
"ambit";2.0;2.0
"amelior";1.0;1.0
"america";2.0;2.0
"american";1.0;1.0
"amic";2.0;2.0
"amok";1.0;1.0
"amount";1.0;1.0
"amphibi";1.0;1.0
"analyst";2.0;3.0
"ancestr";2.0;2.0
"anew";1.0;1.0
"anim";3.0;6.0
"annex";3.0;4.0
"announc";6.0;8.0
"annual";3.0;3.0
"antara";1.0;1.0
"anti";5.0;7.0
"anticip";1.0;1.0
"anxious";1.0;1.0
"anymor";1.0;2.0
"apart";1.0;1.0
"apolog";1.0;1.0
"appar";3.0;3.0
"applaud";1.0;1.0
"appreci";3.0;3.0
"appropri";3.0;3.0
"approv";1.0;1.0
"apterr";2.0;2.0
"aquino";6.0;8.0
"arbitr";5.0;6.0
"architectur";2.0;2.0
"area";14.0;30.0
"argument";1.0;1.0
"armi";2.0;3.0
"arrang";3.0;8.0
"arriv";5.0;5.0
"arthur";1.0;1.0
"articl";1.0;7.0
"asean";13.0;39.0
"asia";6.0;9.0
"asian";7.0;8.0
"asid";2.0;2.0
"aspir";2.0;4.0
"assist";10.0;18.0
"associ";3.0;4.0
"assum";5.0;5.0
"atmospher";4.0;4.0
"attach";2.0;2.0
"attempt";1.0;1.0
"attend";2.0;2.0
"august";2.0;3.0
"author";7.0;11.0
"avenu";1.0;1.0
"avers";1.0;1.0
"avoid";2.0;2.0
"await";1.0;1.0
"awang";1.0;1.0
"back";1.0;1.0
"backdrop";2.0;2.0
"background";1.0;1.0
"baffl";1.0;1.0
"bakar";1.0;1.0
"balagtey";1.0;5.0
"balatey";1.0;1.0
"bambang";1.0;1.0
"banaag";1.0;4.0
"banana";3.0;3.0
"bandar";1.0;1.0
"bangko";2.0;2.0
"bank";3.0;6.0
"banquet";1.0;1.0
"barrier";1.0;1.0
"base";5.0;5.0
"basi";4.0;4.0
"batac";1.0;1.0
"baviera";1.0;2.0
"becom";1.0;1.0
"beef";1.0;1.0
"began";1.0;1.0
"begawan";1.0;1.0
"begin";2.0;2.0
"begun";1.0;1.0
"behalf";1.0;1.0
"beij";16.0;23.0
"believ";1.0;1.0
"belt";1.0;1.0
"benefici";5.0;5.0
"benefit";10.0;20.0
"benigno";6.0;8.0
"benito";1.0;1.0
"bhumibol";1.0;2.0
"bilater";18.0;54.0
"billion";3.0;7.0
"bing";1.0;1.0
"blast";1.0;1.0
"blister";1.0;1.0
"bloodi";1.0;1.0
"boat";1.0;1.0
"bodi";1.0;2.0
"bold";1.0;1.0
"bolkiah";2.0;2.0
"bolster";2.0;2.0
"bond";3.0;7.0
"bossi";1.0;1.0
"bound";1.0;1.0
"brand";1.0;1.0
"break";4.0;6.0
"breed";1.0;1.0
"brief";3.0;3.0
"brig";1.0;1.0
"bring";4.0;6.0
"broadcast";2.0;2.0
"broaden";3.0;3.0
"brothel";1.0;1.0
"brother";1.0;2.0
"brought";2.0;2.0
"brown";1.0;2.0
"brunei";3.0;11.0
"budget";2.0;2.0
"build";7.0;22.0
"built";1.0;1.0
"bureau";3.0;3.0
"buri";1.0;1.0
"burial";1.0;3.0
"busi";5.0;5.0
"businessman";1.0;1.0
"businessmen";1.0;1.0
"buyer";2.0;2.0
"cabinet";1.0;1.0
"call";7.0;7.0
"callamard";1.0;3.0
"came";2.0;3.0
"camp";2.0;4.0
"campaign";4.0;7.0
"cancel";3.0;3.0
"candid";1.0;1.0
"capabl";3.0;4.0
"capac";4.0;13.0
"capit";2.0;2.0
"capita";1.0;1.0
"captiv";1.0;1.0
"carlo";1.0;1.0
"carpet";1.0;1.0
"carpio";1.0;1.0
"carri";1.0;1.0
"case";7.0;7.0
"casipl";1.0;3.0
"caus";2.0;2.0
"cement";4.0;4.0
"cemeteri";1.0;5.0
"center";6.0;13.0
"central";2.0;2.0
"centuri";4.0;4.0
"ceremoni";6.0;7.0
"chain";2.0;2.0
"chair";2.0;2.0
"chairman";2.0;2.0
"chairmanship";2.0;2.0
"challeng";1.0;1.0
"chang";6.0;9.0
"chart";1.0;1.0
"charter";2.0;4.0
"checkpoint";1.0;1.0
"chen";1.0;1.0
"chiang";2.0;2.0
"children";1.0;1.0
"china";25.0;232.0
"chines";16.0;37.0
"choic";1.0;1.0
"choos";1.0;1.0
"chosen";1.0;1.0
"chow";1.0;1.0
"cite";2.0;2.0
"citi";8.0;27.0
"citizen";2.0;2.0
"civil";2.0;2.0
"claim";1.0;1.0
"claimant";1.0;1.0
"clark";1.0;1.0
"class";1.0;1.0
"clean";1.0;1.0
"clear";2.0;2.0
"climat";3.0;4.0
"close";3.0;3.0
"closer";1.0;1.0
"closest";1.0;1.0
"cmim";2.0;2.0
"coast";4.0;9.0
"code";2.0;2.0
"cold";1.0;1.0
"collabor";1.0;1.0
"collect";2.0;2.0
"coloni";3.0;3.0
"combat";4.0;6.0
"come";2.0;2.0
"comfort";1.0;10.0
"command";1.0;2.0
"commemor";2.0;2.0
"comment";2.0;2.0
"commerc";2.0;6.0
"commiss";3.0;6.0
"commit";9.0;25.0
"committe";3.0;8.0
"common";8.0;11.0
"communic";5.0;12.0
"communiqu";2.0;4.0
"communist";1.0;1.0
"communiti";3.0;3.0
"compat";1.0;1.0
"compens";1.0;2.0
"compet";2.0;2.0
"complementar";2.0;2.0
"complet";1.0;1.0
"complex";1.0;1.0
"compli";2.0;2.0
"complianc";2.0;4.0
"complic";3.0;3.0
"compon";2.0;2.0
"comprehens";3.0;3.0
"concern";6.0;13.0
"concert";2.0;2.0
"concession";2.0;2.0
"conclud";1.0;1.0
"conclus";3.0;3.0
"condit";2.0;2.0
"condol";1.0;1.0
"condominium";1.0;1.0
"conduc";4.0;5.0
"conduct";8.0;15.0
"confer";7.0;7.0
"confid";2.0;4.0
"congress";2.0;2.0
"consensus";8.0;13.0
"consid";3.0;3.0
"consist";1.0;2.0
"constitut";1.0;1.0
"construct";4.0;5.0
"consul";2.0;2.0
"consular";2.0;2.0
"consult";6.0;11.0
"contact";2.0;2.0
"contain";3.0;3.0
"contenti";2.0;2.0
"continu";11.0;20.0
"contribut";6.0;7.0
"control";8.0;9.0
"controversi";1.0;1.0
"conveni";2.0;2.0
"cooper";24.0;143.0
"coordin";3.0;5.0
"copi";1.0;1.0
"core";2.0;2.0
"corpor";3.0;3.0
"correct";2.0;2.0
"corrupt";1.0;1.0
"council";3.0;8.0
"counselor";2.0;2.0
"counter";2.0;2.0
"counterbal";1.0;1.0
"counterpart";4.0;4.0
"countri";27.0;93.0
"cours";3.0;3.0
"court";1.0;6.0
"cover";1.0;1.0
"creat";4.0;4.0
"credit";2.0;2.0
"crime";4.0;9.0
"critic";6.0;8.0
"crowd";1.0;1.0
"crown";1.0;1.0
"crucial";1.0;1.0
"cultur";3.0;7.0
"currenc";2.0;2.0
"current";5.0;5.0
"custom";3.0;4.0
"cybercrim";2.0;2.0
"daili";1.0;1.0
"daughter";1.0;1.0
"davao";8.0;19.0
"dead";1.0;1.0
"death";3.0;3.0
"debilit";1.0;1.0
"decatur";1.0;1.0
"decid";2.0;2.0
"decis";2.0;2.0
"declar";4.0;4.0
"declin";1.0;2.0
"decongest";1.0;1.0
"deed";1.0;1.0
"deep";1.0;1.0
"deepen";1.0;1.0
"deepli";1.0;1.0
"defenc";3.0;3.0
"defens";11.0;24.0
"dejiang";3.0;3.0
"delay";1.0;1.0
"deleg";2.0;2.0
"delfin";2.0;2.0
"deliber";1.0;1.0
"deliv";2.0;2.0
"demand";2.0;2.0
"demonstr";1.0;1.0
"denounc";1.0;1.0
"depart";10.0;27.0
"depend";3.0;4.0
"depth";2.0;2.0
"deputi";2.0;2.0
"describ";1.0;1.0
"deserv";2.0;3.0
"destroy";2.0;3.0
"detect";2.0;2.0
"deterior";2.0;2.0
"determin";1.0;1.0
"develop";17.0;72.0
"diagnos";1.0;1.0
"dialogu";8.0;14.0
"dictat";2.0;2.0
"differ";4.0;4.0
"digniti";1.0;1.0
"diplomaci";2.0;2.0
"diplomat";6.0;9.0
"direct";3.0;3.0
"director";3.0;4.0
"disast";3.0;4.0
"discord";1.0;2.0
"discourag";1.0;1.0
"discov";2.0;2.0
"discuss";9.0;11.0
"disgrac";1.0;1.0
"disguis";1.0;1.0
"dismantl";1.0;1.0
"display";1.0;1.0
"disput";9.0;17.0
"disrupt";1.0;1.0
"dissatisfact";1.0;1.0
"distract";2.0;2.0
"diversifi";1.0;1.0
"divid";1.0;1.0
"dmitri";1.0;1.0
"document";6.0;8.0
"dollar";1.0;3.0
"domest";2.0;4.0
"dominguez";1.0;1.0
"donat";3.0;3.0
"donor";1.0;1.0
"dovetail";1.0;1.0
"drag";1.0;1.0
"draw";1.0;1.0
"drill";1.0;1.0
"driven";2.0;2.0
"drug";11.0;46.0
"duli";1.0;1.0
"dutert";42.0;159.0
"duti";1.0;1.0
"dwindl";1.0;1.0
"earl";1.0;1.0
"earlier";8.0;8.0
"east";1.0;1.0
"eastern";1.0;2.0
"ecija";2.0;4.0
"econom";14.0;48.0
"economi";2.0;2.0
"edca";1.0;1.0
"educ";5.0;8.0
"effect";3.0;5.0
"effort";6.0;16.0
"eight";1.0;1.0
"elabor";1.0;1.0
"elect";2.0;2.0
"elector";2.0;2.0
"elimin";1.0;1.0
"embassi";2.0;2.0
"emerg";5.0;10.0
"emperor";3.0;3.0
"emphasi";1.0;1.0
"employ";2.0;2.0
"empress";1.0;1.0
"enabl";1.0;2.0
"encourag";5.0;16.0
"endur";1.0;1.0
"enemi";2.0;2.0
"energi";3.0;3.0
"enforc";3.0;4.0
"engag";1.0;2.0
"engin";2.0;2.0
"enhanc";14.0;33.0
"enjoy";2.0;2.0
"enmiti";1.0;1.0
"enrich";3.0;3.0
"enshrin";2.0;2.0
"ensur";1.0;1.0
"enter";1.0;1.0
"enterpris";2.0;2.0
"entireti";2.0;2.0
"entitl";2.0;2.0
"environ";2.0;2.0
"environment";2.0;2.0
"envoy";1.0;2.0
"episod";1.0;1.0
"equal";5.0;6.0
"equip";3.0;3.0
"equit";1.0;1.0
"erad";2.0;3.0
"ernesto";2.0;2.0
"escal";2.0;2.0
"especi";4.0;4.0
"establish";3.0;6.0
"estim";1.0;1.0
"europ";2.0;2.0
"european";1.0;1.0
"evangelista";1.0;1.0
"evas";1.0;1.0
"even";2.0;2.0
"event";1.0;1.0
"evolv";2.0;2.0
"exchang";4.0;33.0
"excus";1.0;1.0
"execut";8.0;10.0
"exercis";7.0;12.0
"exil";1.0;1.0
"exist";3.0;3.0
"expand";2.0;4.0
"expatri";1.0;1.0
"expect";10.0;10.0
"expel";2.0;2.0
"expenditur";1.0;1.0
"experi";4.0;4.0
"expert";2.0;3.0
"expertis";1.0;1.0
"explain";1.0;1.0
"explan";1.0;1.0
"explor";3.0;9.0
"explos";1.0;1.0
"export";4.0;5.0
"express";6.0;27.0
"expuls";1.0;1.0
"extend";4.0;5.0
"extrajudici";1.0;1.0
"extrem";2.0;4.0
"extremadura";1.0;4.0
"ezra";1.0;1.0
"face";1.0;1.0
"facebook";1.0;1.0
"facil";6.0;14.0
"fact";1.0;1.0
"fail";1.0;1.0
"fall";1.0;1.0
"famili";2.0;4.0
"farcic";1.0;1.0
"feasibl";2.0;2.0
"feather";1.0;1.0
"feel";1.0;1.0
"ferdinand";1.0;1.0
"field";4.0;9.0
"fierc";1.0;1.0
"fight";8.0;14.0
"file";2.0;3.0
"filipino";12.0;16.0
"final";4.0;5.0
"financ";4.0;12.0
"financi";2.0;4.0
"find";2.0;2.0
"fine";1.0;1.0
"fire";1.0;1.0
"fiscal";1.0;1.0
"fisheri";2.0;2.0
"flex";1.0;1.0
"flight";3.0;5.0
"focus";4.0;5.0
"follow";1.0;2.0
"food";2.0;2.0
"foot";1.0;1.0
"forc";8.0;14.0
"foreign";19.0;32.0
"forg";5.0;5.0
"form";3.0;3.0
"formal";1.0;1.0
"former";6.0;7.0
"formul";4.0;5.0
"fort";2.0;2.0
"forth";1.0;1.0
"forum";4.0;5.0
"forward";5.0;6.0
"found";3.0;3.0
"foundat";4.0;4.0
"framework";3.0;3.0
"fraud";2.0;4.0
"free";2.0;2.0
"freedom";3.0;3.0
"freez";1.0;1.0
"fresh";1.0;1.0
"friday";12.0;15.0
"friend";10.0;16.0
"friendship";6.0;10.0
"frosti";1.0;1.0
"fruit";3.0;3.0
"full";3.0;5.0
"fund";2.0;2.0
"fundament";1.0;1.0
"furnish";1.0;1.0
"further";8.0;13.0
"futur";1.0;1.0
"gain";4.0;4.0
"game";2.0;3.0
"gaoli";2.0;2.0
"gave";1.0;1.0
"general";5.0;6.0
"generat";1.0;2.0
"geng";1.0;2.0
"geopolit";1.0;2.0
"give";3.0;3.0
"given";2.0;2.0
"glass";1.0;1.0
"global";2.0;2.0
"goal";2.0;2.0
"gone";1.0;1.0
"good";3.0;8.0
"goodwil";1.0;1.0
"govern";16.0;38.0
"government";2.0;2.0
"grace";1.0;1.0
"gradual";1.0;1.0
"grandmoth";1.0;3.0
"grant";2.0;2.0
"gratitud";1.0;1.0
"great";2.0;2.0
"greater";1.0;1.0
"ground";1.0;1.0
"group";6.0;10.0
"grow";4.0;4.0
"growth";9.0;13.0
"guard";4.0;9.0
"guess";1.0;1.0
"guid";2.0;3.0
"hail";4.0;4.0
"haji";2.0;2.0
"halal";1.0;1.0
"half";2.0;2.0
"hallow";1.0;2.0
"hand";3.0;3.0
"handl";4.0;6.0
"handsom";1.0;1.0
"happen";2.0;2.0
"haribon";1.0;3.0
"hassan";2.0;2.0
"hawaii";1.0;1.0
"head";1.0;1.0
"headquart";1.0;1.0
"health";7.0;12.0
"healthi";2.0;2.0
"heartfelt";1.0;1.0
"heat";2.0;2.0
"hegemon";1.0;1.0
"hegemoni";1.0;2.0
"heir";1.0;1.0
"held";6.0;6.0
"help";11.0;12.0
"heritag";1.0;1.0
"hero";1.0;3.0
"high";1.0;1.0
"higher";1.0;1.0
"highlight";1.0;2.0
"highway";3.0;3.0
"hire";1.0;1.0
"histor";6.0;7.0
"hold";6.0;6.0
"hometown";1.0;1.0
"honest";1.0;1.0
"honor";2.0;3.0
"hope";6.0;7.0
"hospit";1.0;1.0
"hous";3.0;3.0
"household";1.0;1.0
"huang";1.0;1.0
"huge";2.0;2.0
"human";5.0;7.0
"humanitarian";2.0;4.0
"hunger";1.0;1.0
"hybrid";2.0;2.0
"identifi";3.0;5.0
"ignor";1.0;1.0
"igor";1.0;1.0
"illeg";4.0;4.0
"illicit";4.0;10.0
"illus";1.0;2.0
"iloco";1.0;1.0
"imag";1.0;2.0
"iman";2.0;2.0
"immedi";3.0;3.0
"immin";1.0;1.0
"impact";2.0;2.0
"impair";1.0;1.0
"imperi";1.0;1.0
"implement";6.0;16.0
"impli";1.0;1.0
"import";7.0;20.0
"impos";1.0;1.0
"impress";1.0;1.0
"improv";8.0;10.0
"inch";1.0;1.0
"incid";2.0;2.0
"includ";15.0;41.0
"inclus";4.0;4.0
"incom";1.0;1.0
"increas";6.0;17.0
"inday";1.0;1.0
"inde";2.0;2.0
"independ";6.0;9.0
"indonesia";1.0;1.0
"indoor";1.0;1.0
"industri";4.0;11.0
"influenc";3.0;5.0
"inform";3.0;8.0
"infrastructur";11.0;22.0
"infus";2.0;2.0
"initi";5.0;5.0
"injur";1.0;1.0
"innov";3.0;3.0
"insist";1.0;1.0
"inspect";3.0;6.0
"instal";1.0;1.0
"instead";2.0;2.0
"institut";5.0;6.0
"instruct";1.0;1.0
"instrument";3.0;3.0
"integr";6.0;6.0
"intellig";3.0;5.0
"intend";2.0;2.0
"intens";1.0;1.0
"intensifi";2.0;2.0
"intent";2.0;2.0
"inter";1.0;1.0
"interact";2.0;2.0
"interbank";2.0;2.0
"interest";11.0;22.0
"interfer";3.0;3.0
"intern";13.0;23.0
"interoper";1.0;1.0
"intervent";3.0;3.0
"interview";3.0;3.0
"intrus";1.0;4.0
"invest";9.0;25.0
"investig";3.0;4.0
"invit";6.0;11.0
"involv";2.0;2.0
"irrespons";1.0;1.0
"irrig";2.0;2.0
"island";2.0;2.0
"issu";14.0;29.0
"issuanc";2.0;2.0
"istana";2.0;2.0
"jail";1.0;1.0
"japan";11.0;55.0
"japanes";9.0;18.0
"jean";1.0;1.0
"jinp";11.0;16.0
"jock";1.0;1.0
"join";2.0;2.0
"joint";12.0;49.0
"juli";3.0;3.0
"june";10.0;10.0
"jurisdict";2.0;2.0
"justic";1.0;1.0
